location_name	lat	long
New York, NY	40.7127753	-74.0059728
Los Angeles, CA	34.0522342	-118.2436849
Chicago, IL	41.8781136	-87.6297982
Washington DC	38.9071923	-77.0368707
San Francisco, CA	37.7749295	-122.4194155
Boston, MA	42.3600825	-71.0588801
Dallas, TX	32.7766642	-96.79698789999999
Philadelphia, PA	39.9525839	-75.1652215
Miami, FL	25.7616798	-80.1917902
Houston, TX	29.7604267	-95.3698028
Atlanta, GA	33.7489954	-84.3879824
Detroit, MI	42.331427	-83.0457538
Seattle, WA	47.6062095	-122.3320708
Phoenix, AZ	33.4483771	-112.0740373
Minneapolis, MN	44.977753	-93.2650108
Cleveland, OH	41.49932	-81.6943605
Denver, CO	39.7392358	-104.990251
San Diego, CA	32.715738	-117.1610838
Portland, OR	45.5230622	-122.6764815
Orlando, FL	28.5383355	-81.3792365
Tampa, FL	27.950575	-82.4571776
St. Louis, MO	38.6270025	-90.19940419999999
Pittsburg, PA	40.44062479999999	-79.9958864
Sacramento, CA	38.5815719	-121.4943996
Salt Lake City, UT	40.7607793	-111.8910474
Kansas City, KS	39.114053	-94.6274636
Columbus, OH	39.9611755	-82.99879419999999
Indianapolis, IN	39.768403	-86.158068
San Antonio, TX	29.4241219	-98.49362819999999
Las Vegas, NV	36.1699412	-115.1398296
Cincinnati, OH	39.1031182	-84.5120196
