Location	Polarity
Atlanta,GA	0.08955847645893494
Boston,MA	0.17618385529709962
Chicago,IL	0.09262138961250553
Cincinnati,OH	0.1092748705035108
Cleveland,OH	0.08643525569082822
Columbus,OH	0.12394234202426807
Dallas,TX	0.07640198887934703
Denver,CO	0.11466793181145589
Detroit,MI	0.08346002177564579
Houston,TX	0.04775877047219695
Indianapolis,IN	0.1232312115362011
KansasCity,KS	0.12294506740752445
LasVegas,NV	0.0951134242382128
LosAngeles,CA	0.06241881451596543
Miami,FL	0.11981224620275908
Minneapolis,MN	0.16688869415049568
NewYork,NY	0.07727156797726954
Orlando,FL	0.09986760479943467
Philadelphia,PA	0.057561840228134646
Phoenix,AZ	0.12544470127374055
Pittsburg,PA	0.09359535562654
Portland,OR	0.14830857178392243
Sacramento,CA	0.08358276855311864
SaltLakeCity,UT	0.12748371457743068
SanAntonio,TX	0.07597990258204358
SanDiego,CA	0.08379954310477396
SanFrancisco,CA	0.08741357483101393
Seattle,WA	0.10307825978427032
St.Louis,MO	0.1381517261183061
Tampa,FL	0.10054369959196144
WashingtonDC	0.10170097613935694
